time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837024.19952011,0.03126024,0.00546339,0.00000523,72313.00000000,0.04304256,0.000000,0.000000
1577837024.29935479,0.03126621,0.00648539,0.00000380,72502.00000000,0.03391345,0.000000,0.000000
1577837024.39997220,0.03127317,0.00565734,0.00000390,72534.00000000,0.03437029,0.000000,0.000000
1577837024.49980807,0.03127477,0.00553770,0.00000392,72491.00000000,0.03198951,0.000000,0.000000
1577837024.59964204,0.03129525,0.00545815,0.00000433,72704.00000000,0.04045213,0.000000,0.000000
1577837024.69947696,0.03128977,0.00433216,0.00000392,72901.00000000,0.02883238,0.000000,0.000000
1577837024.79931593,0.03135942,0.00797679,0.00000542,72164.00000000,0.06263149,0.000000,0.000000
1577837024.89996290,0.03135829,0.00558177,0.00000408,72233.00000000,0.03084927,0.000000,0.000000
1577837024.99980283,0.03135511,0.00454224,0.00000418,72312.00000000,0.02992093,0.000000,0.000000
1577837025.09964395,0.03139951,0.00347680,0.00000383,72409.00000000,0.05147061,0.000000,0.000000
1577837025.19949198,0.03144717,0.00463765,0.00000642,72450.00000000,0.05303549,0.000000,0.000000
1577837025.29932117,0.03143035,0.00327671,0.00000368,72501.00000000,0.02379649,0.000000,0.000000
1577837025.39995599,0.03142406,0.00387365,0.00000398,72538.00000000,0.02855992,0.000000,0.000000
1577837025.49979496,0.03147091,0.00449321,0.00000562,72572.00000000,0.05283595,0.000000,0.000000
1577837025.59963608,0.03148182,0.00443308,0.00000489,72584.00000000,0.03646974,0.000000,0.000000
1577837025.69946504,0.03147604,0.00437812,0.00000365,72640.00000000,0.02882672,0.000000,0.000000
1577837025.79929805,0.03147952,0.00602701,0.00000415,72771.00000000,0.03307646,0.000000,0.000000
1577837025.89993286,0.03148663,0.00778082,0.00000396,73003.00000000,0.03475756,0.000000,0.000000
1577837025.99978280,0.03151471,0.00684479,0.00000431,73490.00000000,0.04446078,0.000000,0.000000
1577837026.09962392,0.03151271,0.00566942,0.00000359,73747.00000000,0.03058778,0.000000,0.000000
